1602,Guy Pearce
230032,Pete Docter
677037,Bob Peterson
230032,Pete Docter
677037,Bob Peterson
565336,Tom McCarthy
799,Edward Asner
2973712,Jordan Nagai
1652,John Ratzenberger
520,Michael Mann
520,Michael Mann
199,Al Pacino
134,Robert De Niro
174,Val Kilmer
2371802,Thomas Kail
592135,Lin-Manuel Miranda
2375857,Ron Chernow
592135,Lin-Manuel Miranda
5623883,Phillipa Soo
1502434,Leslie Odom Jr.
485,Fritz Lang
902376,Thea von Harbou
485,Fritz Lang
375609,Brigitte Helm
2154,Alfred Abel
297054,Gustav Fröhlich
1410815,Asghar Farhadi
1410815,Asghar Farhadi
1818216,Payman Maadi
368689,Leila Hatami
4299147,Sareh Bayat
5363,Guy Ritchie
5363,Guy Ritchie
5458,Jason Statham
93,Brad Pitt
334318,Stephen Graham
1532,John McTiernan
861636,Roderick Thorp
835732,Jeb Stuart
211823,Steven E. de Souza
246,Bruce Willis
614,Alan Rickman
889,Bonnie Bedelia
898288,Denis Villeneuve
898288,Denis Villeneuve
1416431,Wajdi Mouawad
4034068,Valérie Beaugrand-Champagne
44073,Lubna Azabal
246386,Mélissa Désormeaux-Poulin
309945,Maxim Gaudette
229,Steven Spielberg
90151,Jeffrey Boam
184,George Lucas
583675,Menno Meyjes
148,Harrison Ford
125,Sean Connery
233145,Alison Doody
1120,Vittorio De Sica
953790,Cesare Zavattini
59030,Luigi Bartolini
80755,Oreste Biancoli
536009,Lamberto Maggiorani
821543,Enzo Staiola
136794,Lianella Carell
1218281,Jon Watts
571344,Chris McKenna
1273099,Erik Sommers
498278,Stan Lee
4043618,Tom Holland
3918035,Zendaya
1212722,Benedict Cumberbatch
5222,Sam Mendes
5222,Sam Mendes
4880670,Krysty Wilson-Cairns
2835616,Dean-Charles Chapman
1126657,George MacKay
990547,Daniel Mays
451148,Aamir Khan
1244760,Amole Gupte
1244760,Amole Gupte
2594301,Darsheel Safary
451148,Aamir Khan
1538116,Tisca Chopra
386570,Oliver Hirschbiegel
251536,Bernd Eichinger
275264,Joachim Fest
432622,Traudl Junge
4486,Bruno Ganz
487884,Alexandra Maria Lara
559890,Ulrich Matthes
1466,Sergio Leone
1466,Sergio Leone
607694,Fulvio Morsella
898812,Luciano Vincenzoni
142,Clint Eastwood
1812,Lee Van Cleef
2231,Gian Maria Volontè
634240,Christopher Nolan
4170,Bob Kane
275286,David S. Goyer
634240,Christopher Nolan
288,Christian Bale
323,Michael Caine
913822,Ken Watanabe
4318159,Nitesh Tiwari
6328029,Piyush Gupta
6328031,Shreyas Jain
6328030,Nikhil Mehrotra
451148,Aamir Khan
2799219,Sakshi Tanwar
760778,Fatima Sana Shaikh
122,Charles Chaplin
122,Charles Chaplin
122,Charles Chaplin
701012,Edna Purviance
1067,Jackie Coogan
697,Billy Wilder
697,Billy Wilder
224634,I.A.L. Diamond
858329,Robert Thoeren
54,Marilyn Monroe
348,Tony Curtis
493,Jack Lemmon
1725469,Florian Zeller
358960,Christopher Hampton
